Code,Mum,Dad
MND99,FDL94,DSA99
MRN99,ALB94,SCI87
MRY99,Mar-93,KIERA
MST99,IVY95,JOW89
MUF99,DIC96,LIZ89
NET99,DOC94,CSK93
PEP99,MUS81,MOBYD
PID99,LIM85,BASIL
PIL99,HER93,ALC91
POM99,BNX93,WIRES
PRT99,ORP92,NA
QUN99,CAF89,TURKS
RUM99,STI96,BCL90
SAG99,SEM95,SCI87
SCR99,GRA93,BASIL
SEQ99,SYC91,PEC90
SER99,HRM95,PEREG
SHI99,GRA95,PEREG
SKU99,FUL86,WIRES
SLO99,GIN93,BASIL
SPI99,HAL94,SAF88
TNG99,FAN88,TURKS
WAL99,DIC95,TYS89
YEW99,HOL94,BASIL
ART00,ARI96,SAF88
BEA00,MOO96,OCH92
BIE00,CFI94,BCL90
BNN00,OAT94,CRAGS
BUT00,BCL93,HER91
CGH00,WHA87,AST91
CLW00,STI94,SCOWL
DOC00,HIC88,LIZ89
FDL00,VIO89,HER91
FLG00,ANK90,PIC90
FRA00,PEN90,KIERA
GAN00,SUL94,KIERA
GOD00,AVO90,OAT89
GRA00,FAN90,BASIL
HEL00,ORC95,MOBYD
HOL00,ILE86,SLT86
HON00,SUN93,RHINO
HRM00,INI86,TYS89
JAE00,BNX95,BUZZA
KLD00,BNX94,SCI87
LAC00,BCL95,RHINO
LIL00,THU96,PEREG
LMS00,GOD94,OAT89
LPW00,FEA87,EGR88
MEG00,Mar-95,BUZZA
OXY00,DOC96,SLT86
PAN00,PID95,OAT89
PTL00,MNX89,BUZZA
RIB00,BCL96,OAT89
RUF00,GOD97,AST91
SLO00,GIN93,PEREG
SQU00,EGR91,MOBYD
STA00,GAL89,PEREG
STR00,MNX90,SCI87
SYC00,PET87,BASIL
TIK00,HAL95,PEREG
TIN00,THU91,PEREG
TSL00,THS96,MOBYD
WAL00,DIC95,SLT86
YOS00,SEQ96,PEREG
ZUC00,CUC91,BASIL
BIE01,CFI94,SHTNK
BNJ01,FDL96,ATH91
BNN01,OAT94,EGR88
CEL01,AST90,D0616
CLL01,VIO96,D0595
CMR01,CLT97,SQUAS
CSK01,ANK89,TNY94
DOC01,HIC88,TNY94
EID01,MAL93,AST91
FNY01,FOP97,TNY94
FOU01,SUL90,SCI87
FRA01,PEN90,SCI87
GAN01,SUL94,CSK93
GRA01,FAN90,TYS89
HEL01,ORC95,D0607
HIA01,PID97,TYS89
HIR01,FUL93,DPU94
HOC01,HOL97,TNY94
IVO01,EBO90,PEREG
JAY01,CGH95,AST91
KLD01,BNX94,SCI87
LAR01,KIT95,TYS89
MDL01,FAN93,WOD90
